XBTUSD BGN Curncy,Date,Last Price,Closing Price 1d ago,
43152,2018-02-21,10286.84,11705.73,
43153,2018-02-22,9915.69,10286.84,
43154,2018-02-23,9920.01,9915.69,
43156,2018-02-25,9596.64,#N/A N/A,
43157,2018-02-26,10380.3,9920.01,
43158,2018-02-27,10755.9,10380.3,
43159,2018-02-28,10538.02,10755.9,
43160,2018-03-01,10933.75,10538.02,
43161,2018-03-02,11029.95,10933.75,
43163,2018-03-04,11400.19,#N/A N/A,
43164,2018-03-05,11555.99,11029.95,
43165,2018-03-06,10790.35,11555.99,
43166,2018-03-07,9939.53,10790.35,
43167,2018-03-08,9330.23,9939.53,
43168,2018-03-09,9004.84,9330.23,
43170,2018-03-11,9613.95,#N/A N/A,
43171,2018-03-12,9017.65,9004.84,
43172,2018-03-13,9062.92,9017.65,
43173,2018-03-14,8304.32,9062.92,
43174,2018-03-15,8251.71,8304.32,
43175,2018-03-16,8524.17,8251.71,
43177,2018-03-18,7655.03,#N/A N/A,
43178,2018-03-19,8427.2,8524.17,
43179,2018-03-20,8920.33,8427.2,
43180,2018-03-21,8895.59,8920.33,
43181,2018-03-22,8598.85,8895.59,
43182,2018-03-23,8616.25,8598.85,
43184,2018-03-25,8605.14,#N/A N/A,
43185,2018-03-26,7888.84,8616.25,
43186,2018-03-27,7990.87,7888.84,
43187,2018-03-28,7906.96,7990.87,
43188,2018-03-29,7098.14,7906.96,
43189,2018-03-30,6852.51,7098.14,
43191,2018-04-01,6890.64,#N/A N/A,
43192,2018-04-02,6937.38,6852.51,
43193,2018-04-03,7401.4,6937.38,
43194,2018-04-04,6830.76,7401.4,
43195,2018-04-05,6749.55,6830.76,
43196,2018-04-06,6604.48,6749.55,
43198,2018-04-08,6955.33,#N/A N/A,
43199,2018-04-09,6662.14,6604.48,
43200,2018-04-10,6839.62,6662.14,
43201,2018-04-11,6891.03,6839.62,
43202,2018-04-12,7730.47,6891.03,
43203,2018-04-13,7903.91,7730.47,
43205,2018-04-15,8287.52,#N/A N/A,
43206,2018-04-16,7986.06,7903.91,
43207,2018-04-17,7914.7,7986.06,
43208,2018-04-18,8187.53,7914.7,
43209,2018-04-19,8233.85,8187.53,
43210,2018-04-20,8524.52,8233.85,
43212,2018-04-22,8893.04,#N/A N/A,
43213,2018-04-23,8932.25,8524.52,
43214,2018-04-24,9449.88,8932.25,
43215,2018-04-25,9073.19,9449.88,
43216,2018-04-26,9118.96,9073.19,
43217,2018-04-27,8977.07,9118.96,
43219,2018-04-29,9295.78,#N/A N/A,
43220,2018-04-30,9272.7,8977.07,
43221,2018-05-01,9015.73,9272.7,
43222,2018-05-02,9175.76,9015.73,
43223,2018-05-03,9652.04,9175.76,
43224,2018-05-04,9683.54,9652.04,
43226,2018-05-06,9514.36,#N/A N/A,
43227,2018-05-07,9437.62,9683.54,
43228,2018-05-08,9160.97,9437.62,
43229,2018-05-09,9248.19,9160.97,
43230,2018-05-10,9092.67,9248.19,
43231,2018-05-11,8432.01,9092.67,
43233,2018-05-13,8714.52,#N/A N/A,
43234,2018-05-14,8811.66,8432.01,
43235,2018-05-15,8518.76,8811.66,
43236,2018-05-16,8291.23,8518.76,
43237,2018-05-17,8204.05,8291.23,
43238,2018-05-18,8229.58,8204.05,
43240,2018-05-20,8554.55,#N/A N/A,
43241,2018-05-21,8406.89,8229.58,
43242,2018-05-22,8108.52,8406.89,
43243,2018-05-23,7590,8108.52,
